Geracao,Melhor_X,Melhor_Y,Fitness
1,15.065577,3.050065,998437.187500
2,15.065567,3.050064,998437.000000
3,15.004349,3.054123,997313.875000
4,15.004349,3.054123,997313.875000
5,15.006195,3.788193,-4135.365723
6,15.006165,3.788086,-4135.452148
7,15.006165,3.788086,-4135.452148
8,15.006165,3.788086,-4135.452148
9,14.766632,2.578293,-5179.463379
10,14.473663,1.736298,-6002.557617
11,14.473633,1.735107,-6003.750488
12,14.473633,1.735107,-6003.750488
13,14.473633,1.735107,-6003.750488
14,14.473938,1.703735,-6035.184082
15,14.473938,1.703735,-6035.184082
16,14.473938,1.688110,-6050.889160
17,14.458344,1.678406,-6061.589844
18,14.383118,1.495117,-6252.432617
19,14.375809,1.486328,-6261.886230
20,14.378189,1.471909,-6276.588379
21,14.378189,1.471909,-6276.588379
22,14.215836,1.102463,-6673.701172
23,14.215836,1.102463,-6673.701172
24,14.202896,1.074142,-6704.775391
25,14.202896,1.074142,-6704.775391
26,14.202896,1.074142,-6704.775391
27,14.202896,1.074142,-6704.775391
28,14.202774,1.074020,-6704.913086
29,14.202881,1.066315,-6713.190918
30,14.147873,0.956497,-6834.857910
31,14.147873,0.956497,-6834.857910
32,14.134369,0.928772,-6865.760742
33,14.134369,0.928772,-6865.760742
34,14.134369,0.928772,-6865.760742
35,14.134369,0.928772,-6865.760742
36,14.106934,0.866287,-6935.561035
37,14.106934,0.866287,-6935.561035
38,14.106201,0.866287,-6935.598145
39,14.106201,0.866287,-6935.598145
40,14.106201,0.866287,-6935.598145
41,14.106201,0.866287,-6935.598145
42,14.106201,0.866287,-6935.598145
43,14.105713,0.866287,-6935.623047
44,14.105713,0.866287,-6935.623047
45,14.105713,0.866272,-6935.639648
46,14.105713,0.866272,-6935.639648
47,14.105713,0.866272,-6935.639648
48,14.105713,0.866272,-6935.639648
49,14.105713,0.866272,-6935.639648
50,14.105713,0.866272,-6935.639648
51,14.105713,0.866272,-6935.639648
52,14.105713,0.866272,-6935.639648
53,14.105713,0.866272,-6935.639648
54,14.105713,0.866272,-6935.639648
55,14.105713,0.866272,-6935.639648
56,14.105896,0.866211,-6935.697266
57,14.105896,0.866211,-6935.697266
58,14.105896,0.866211,-6935.697266
59,14.105896,0.866211,-6935.697266
60,14.105896,0.866211,-6935.697266
61,14.105896,0.865234,-6936.770020
62,14.105896,0.865234,-6936.770020
63,14.105896,0.865234,-6936.770020
64,14.105896,0.865234,-6936.770020
65,14.105896,0.865234,-6936.770020
66,14.105896,0.865234,-6936.770020
67,14.105652,0.865234,-6936.782227
68,14.105652,0.865234,-6936.782227
69,14.105652,0.865234,-6936.782227
70,14.105652,0.865234,-6936.782227
71,14.105652,0.865234,-6936.782227
72,14.105652,0.865234,-6936.782227
73,14.105652,0.865234,-6936.782227
74,14.105652,0.865234,-6936.782227
75,14.105652,0.865234,-6936.782227
76,14.105652,0.865234,-6936.782227
77,14.105652,0.865234,-6936.782227
78,14.105652,0.865234,-6936.782227
79,14.105652,0.865234,-6936.782227
80,14.105652,0.865234,-6936.782227
81,14.105652,0.865234,-6936.782227
82,14.105652,0.865234,-6936.782227
83,14.105652,0.865234,-6936.782227
84,14.105652,0.865234,-6936.782227
85,14.105652,0.865234,-6936.782227
86,14.106079,0.864853,-6937.179688
87,14.105499,0.863983,-6938.164551
88,14.105499,0.863983,-6938.164551
89,14.105499,0.863983,-6938.164551
90,14.105499,0.863983,-6938.164551
91,14.105499,0.863983,-6938.164551
92,14.105499,0.863983,-6938.164551
93,14.105499,0.863983,-6938.164551
94,14.105499,0.863983,-6938.164551
95,14.105499,0.863861,-6938.298828
96,14.105591,0.863831,-6938.327637
97,14.105591,0.863831,-6938.327637
98,14.105591,0.863831,-6938.327637
99,14.105591,0.863831,-6938.327637
100,14.105591,0.863831,-6938.327637
101,14.105591,0.863831,-6938.327637
102,14.105591,0.863831,-6938.327637
103,14.103287,0.860428,-6942.182617
104,14.103287,0.860428,-6942.182617
105,14.103287,0.859451,-6943.256348
106,14.103287,0.859451,-6943.256348
107,14.103287,0.859451,-6943.256348
108,14.103165,0.859451,-6943.262207
109,14.103043,0.859451,-6943.268555
110,14.103287,0.859390,-6943.323242
111,14.103287,0.859390,-6943.323242
112,14.103287,0.859390,-6943.323242
113,14.103287,0.859390,-6943.323242
114,14.103287,0.859390,-6943.323242
115,14.103287,0.859390,-6943.323242
116,14.103287,0.859390,-6943.323242
117,14.103287,0.859390,-6943.323242
118,14.103287,0.859390,-6943.323242
119,14.103287,0.859390,-6943.323242
120,14.103287,0.859390,-6943.323242
121,14.103287,0.859390,-6943.323242
122,14.103287,0.859375,-6943.339844
123,14.103287,0.859375,-6943.339844
124,14.103287,0.859375,-6943.339844
125,14.103287,0.859375,-6943.339844
126,14.103287,0.859375,-6943.339844
127,14.103287,0.859375,-6943.339844
128,14.102798,0.859390,-6943.347656
129,14.102798,0.859375,-6943.364746
130,14.102798,0.859375,-6943.364746
131,14.098129,0.849091,-6954.909668
132,14.098129,0.849075,-6954.926758
133,14.098129,0.849075,-6954.926758
134,14.097977,0.849014,-6955.001465
135,14.097977,0.849014,-6955.001465
136,14.097977,0.849014,-6955.001465
137,14.097977,0.849014,-6955.001465
138,14.097977,0.849014,-6955.001465
139,14.097977,0.849014,-6955.001465
140,14.097839,0.848785,-6955.260254
141,14.097839,0.848785,-6955.260254
142,14.097839,0.848785,-6955.260254
143,14.097839,0.848785,-6955.260254
144,14.097839,0.848785,-6955.260254
145,14.097839,0.848785,-6955.260254
146,14.097839,0.848785,-6955.260254
147,14.097916,0.848770,-6955.272949
148,14.097916,0.848770,-6955.272949
149,14.097916,0.848770,-6955.272949
150,14.097916,0.848770,-6955.272949
151,14.097916,0.848770,-6955.272949
152,14.097916,0.848770,-6955.272949
153,14.097916,0.848770,-6955.272949
154,14.097916,0.848770,-6955.272949
155,14.097916,0.848770,-6955.272949
156,14.097916,0.848770,-6955.272949
157,14.097916,0.848770,-6955.272949
158,14.097916,0.848770,-6955.272949
159,14.097916,0.848770,-6955.272949
160,14.097916,0.848770,-6955.272949
161,14.097916,0.848770,-6955.272949
162,14.097916,0.848770,-6955.272949
163,14.097916,0.848770,-6955.272949
164,14.097916,0.848770,-6955.272949
165,14.097916,0.848770,-6955.272949
166,14.097916,0.848770,-6955.272949
167,14.097916,0.848770,-6955.272949
168,14.097702,0.848633,-6955.435059
169,14.097702,0.848633,-6955.435059
170,14.097702,0.848633,-6955.435059
171,14.097702,0.848633,-6955.435059
172,14.097702,0.848633,-6955.435059
173,14.097702,0.848633,-6955.435059
174,14.097702,0.848633,-6955.435059
175,14.097702,0.848633,-6955.435059
176,14.097702,0.848633,-6955.435059
177,14.097702,0.848633,-6955.435059
178,14.097702,0.848633,-6955.435059
179,14.097702,0.848633,-6955.435059
180,14.097702,0.848633,-6955.435059
181,14.097702,0.848633,-6955.435059
182,14.097702,0.848633,-6955.435059
183,14.097702,0.848633,-6955.435059
184,14.097702,0.848633,-6955.435059
185,14.097702,0.848633,-6955.435059
186,14.097702,0.848633,-6955.435059
187,14.097702,0.848633,-6955.435059
188,14.097702,0.848633,-6955.435059
189,14.097702,0.848633,-6955.435059
190,14.097702,0.848633,-6955.435059
191,14.097702,0.848633,-6955.435059
192,14.097702,0.848633,-6955.435059
193,14.097672,0.848495,-6955.587402
194,14.097672,0.848495,-6955.587402
195,14.097672,0.848495,-6955.587402
196,14.097672,0.848495,-6955.587402
197,14.097672,0.848495,-6955.587402
198,14.097672,0.848495,-6955.587402
199,14.097672,0.848495,-6955.587402
200,14.097672,0.848495,-6955.587402
201,14.097672,0.848480,-6955.604492
202,14.097672,0.848480,-6955.604492
203,14.097672,0.848480,-6955.604492
204,14.097672,0.848480,-6955.604492
205,14.097672,0.848480,-6955.604492
206,14.097672,0.848480,-6955.604492
207,14.097672,0.848480,-6955.604492
208,14.097672,0.848480,-6955.604492
209,14.097672,0.848480,-6955.604492
210,14.097672,0.848480,-6955.604492
211,14.097672,0.848480,-6955.604492
212,14.097672,0.848480,-6955.604492
213,14.097672,0.848480,-6955.604492
214,14.097672,0.848480,-6955.604492
215,14.097672,0.848480,-6955.604492
216,14.097672,0.848480,-6955.604492
217,14.096420,0.845749,-6958.673340
218,14.096420,0.845749,-6958.673340
219,14.096420,0.845749,-6958.673340
